rule,string,count
697,1001110101000000,6
698,0101110101000000,6
699,1101110101000000,7
700,0011110101000000,6
701,1011110101000000,7
702,0111110101000000,7
703,1111110101000000,8
704,0000001101000000,3
705,1000001101000000,4
706,0100001101000000,4
707,1100001101000000,5
708,0010001101000000,4
709,1010001101000000,5
710,0110001101000000,5
711,1110001101000000,6
712,0001001101000000,4
713,1001001101000000,5
714,0101001101000000,5
715,1101001101000000,6
716,0011001101000000,5
717,1011001101000000,6
718,0111001101000000,6
719,1111001101000000,7
720,0000101101000000,4
721,1000101101000000,5
722,0100101101000000,5
723,1100101101000000,6
724,0010101101000000,5
725,1010101101000000,6
726,0110101101000000,6
727,1110101101000000,7
728,0001101101000000,5
729,1001101101000000,6
730,0101101101000000,6
731,1101101101000000,7
732,0011101101000000,6
733,1011101101000000,7
734,0111101101000000,7
735,1111101101000000,8
736,0000011101000000,4
737,1000011101000000,5
738,0100011101000000,5
739,1100011101000000,6
740,0010011101000000,5
741,1010011101000000,6
742,0110011101000000,6
743,1110011101000000,7
744,0001011101000000,5
745,1001011101000000,6
746,0101011101000000,6
747,1101011101000000,7
748,0011011101000000,6
749,1011011101000000,7
750,0111011101000000,7
751,1111011101000000,8
752,0000111101000000,5
753,1000111101000000,6
754,0100111101000000,6
755,1100111101000000,7
756,0010111101000000,6
757,1010111101000000,7
758,0110111101000000,7
759,1110111101000000,8
760,0001111101000000,6
761,1001111101000000,7
762,0101111101000000,7
763,1101111101000000,8
764,0011111101000000,7
765,1011111101000000,8
766,0111111101000000,8
767,1111111101000000,9
768,0000000011000000,2
769,1000000011000000,3
770,0100000011000000,3
771,1100000011000000,4
772,0010000011000000,3
773,1010000011000000,4
774,0110000011000000,4
775,1110000011000000,5
776,0001000011000000,3
777,1001000011000000,4
778,0101000011000000,4
779,1101000011000000,5
780,0011000011000000,4
781,1011000011000000,5
782,0111000011000000,5
783,1111000011000000,6
784,0000100011000000,3
785,1000100011000000,4
786,0100100011000000,4
787,1100100011000000,5
788,0010100011000000,4
789,1010100011000000,5
790,0110100011000000,5
791,1110100011000000,6
792,0001100011000000,4
793,1001100011000000,5
794,0101100011000000,5
795,1101100011000000,6
796,0011100011000000,5
797,1011100011000000,6
798,0111100011000000,6
799,1111100011000000,7
800,0000010011000000,3
801,1000010011000000,4
802,0100010011000000,4
803,1100010011000000,5
804,0010010011000000,4
805,1010010011000000,5
806,0110010011000000,5
807,1110010011000000,6
808,0001010011000000,4
809,1001010011000000,5
810,0101010011000000,5
811,1101010011000000,6
812,0011010011000000,5
813,1011010011000000,6
814,0111010011000000,6
815,1111010011000000,7
816,0000110011000000,4
817,1000110011000000,5
818,0100110011000000,5
819,1100110011000000,6
820,0010110011000000,5
821,1010110011000000,6
822,0110110011000000,6
823,1110110011000000,7
824,0001110011000000,5
825,1001110011000000,6
826,0101110011000000,6
827,1101110011000000,7
828,0011110011000000,6
829,1011110011000000,7
830,0111110011000000,7
831,1111110011000000,8
832,0000001011000000,3
833,1000001011000000,4
834,0100001011000000,4
835,1100001011000000,5
836,0010001011000000,4
837,1010001011000000,5
838,0110001011000000,5
839,1110001011000000,6
840,0001001011000000,4
841,1001001011000000,5
842,0101001011000000,5
843,1101001011000000,6
844,0011001011000000,5
845,1011001011000000,6
846,0111001011000000,6
847,1111001011000000,7
848,0000101011000000,4
